Coin Name,Symbol,Price (USD),1h Change (%),24h Change (%),7d Change (%),Avg Downfall (%),Price Range
Bitcoin,BTC,104058.04,0.24,0.73,0.18,0.3833,5. $50+
Ethereum,ETH,2483.59,0.76,2.53,5.27,2.8533,5. $50+
Tether,USDT,0.9999,0.04,0.21,0.42,0.2233,3. $0.50 - $5
XRP,XRP,2.12,0.55,2.05,3.1,1.9,3. $0.50 - $5
BNB,BNB,644.79,0.1,0.3,0.3,0.2333,5. $50+
Solana,SOL,142.67,0.99,1.38,7.32,3.23,5. $50+
USDC,USDC,0.9998,0.03,0.35,0.44,0.2733,3. $0.50 - $5
TRON,TRX,0.2734,0.36,1.48,0.83,0.89,2. $0.05 - $0.50
Dogecoin,DOGE,0.1654,0.94,2.33,7.08,3.45,2. $0.05 - $0.50
Cardano,ADA,0.5808,0.96,2.8,3.7,2.4867,3. $0.50 - $5
Pudgy Penguins,PENGU,0.009096,1.4,2.22,5.51,3.0433,1. $0 - $0.05
Walrus,WAL,0.4205,1.57,6.35,12.77,6.8967,2. $0.05 - $0.50
Raydium,RAY,2.06,1.17,4.34,9.33,4.9467,3. $0.50 - $5
Core,CORE,0.5443,0.82,1.39,3.97,2.06,3. $0.50 - $5
Tezos,XTZ,0.5207,0.66,1.5,4.81,2.3233,3. $0.50 - $5
Pyth Network,PYTH,0.09453,2.27,4.18,12.74,6.3967,2. $0.05 - $0.50
Flow,FLOW,0.3394,1.0,2.09,3.59,2.2267,2. $0.05 - $0.50
Maple Finance,SYRUP,0.4626,3.05,8.82,13.72,8.53,2. $0.05 - $0.50
Decentraland,MANA,0.2505,1.37,3.68,9.33,4.7933,2. $0.05 - $0.50
TrueUSD,TUSD,0.9976,0.01,0.37,0.56,0.3133,3. $0.50 - $5
Fasttoken,FTN,4.45,0.01,0.19,0.56,0.2533,3. $0.50 - $5
Jupiter Perps LP,JLP,4.32,0.45,0.9,2.55,1.3,3. $0.50 - $5
Zeebu,ZBU,3.26,0.06,0.27,0.05,0.1267,3. $0.50 - $5
Fellaz,FLZ,1.43,0.52,1.12,2.81,1.4833,3. $0.50 - $5
Usual USD,USD0,0.9977,0.01,0.21,0.27,0.1633,3. $0.50 - $5
Ondo US Dollar Yield,USDY,1.09,0.03,0.15,0.09,0.09,3. $0.50 - $5
Falcon USD,USDf,0.9997,0.0,0.47,0.07,0.18,3. $0.50 - $5
Loaded Lions,LION,0.01647,0.52,1.34,4.36,2.0733,1. $0 - $0.05
would,WOULD,0.4946,3.03,9.42,13.48,8.6433,2. $0.05 - $0.50
WhiteRock,WHITE,0.0007355,0.66,1.2,1.87,1.2433,1. $0 - $0.05
Ontology,ONT,0.1205,1.14,3.74,4.66,3.18,2. $0.05 - $0.50
Request,REQ,0.1336,0.32,0.62,2.97,1.3033,2. $0.05 - $0.50
Paycoin,PCI,0.1043,0.63,1.12,3.86,1.87,2. $0.05 - $0.50
COTI,COTI,0.05028,0.95,3.67,3.39,2.67,2. $0.05 - $0.50
Gravity (by Galxe),G,0.01148,1.13,4.12,3.08,2.7767,1. $0 - $0.05
Terra,LUNA,0.1536,1.01,3.78,6.46,3.75,2. $0.05 - $0.50
Solar,SXP,0.168,0.29,0.44,1.04,0.59,2. $0.05 - $0.50
Destra Network,DSYNC,0.1111,0.71,0.76,4.53,2.0,2. $0.05 - $0.50
World Mobile Token,WMTX,0.1537,0.54,1.88,3.07,1.83,2. $0.05 - $0.50
SKALE,SKL,0.01813,1.59,3.81,5.17,3.5233,1. $0 - $0.05
Usual,USUAL,0.07198,1.14,2.5,2.94,2.1933,2. $0.05 - $0.50
Arcblock,ABT,0.7374,0.69,2.34,5.12,2.7167,3. $0.50 - $5
Memecoin,MEME,0.001517,1.88,3.4,8.58,4.62,1. $0 - $0.05
MiL.k,MLK,0.1538,0.14,0.4,0.33,0.29,2. $0.05 - $0.50
dKargo,DKA,0.01544,0.17,0.12,0.44,0.2433,1. $0 - $0.05
AI Companions,AIC,0.09574,1.09,3.87,9.21,4.7233,2. $0.05 - $0.50
Degen,DEGEN,0.003229,3.42,7.72,27.31,12.8167,1. $0 - $0.05
Aevo,AEVO,0.07876,1.61,4.97,11.25,5.9433,2. $0.05 - $0.50
Spark,SPK,0.04205,2.44,7.46,12.49,7.4633,1. $0 - $0.05
Global Commercial Business,GCB,0.05947,0.02,0.39,0.07,0.16,2. $0.05 - $0.50
NEM,XEM,0.006272,0.53,1.87,2.82,1.74,1. $0 - $0.05
Humans.ai,HEART,0.006635,1.32,4.42,7.72,4.4867,1. $0 - $0.05
Oasys,OAS,0.01177,0.18,1.04,1.1,0.7733,1. $0 - $0.05
Smooth Love Potion,SLP,0.001253,1.53,5.53,12.01,6.3567,1. $0 - $0.05
Neutron,NTRN,0.08626,0.92,2.42,3.13,2.1567,2. $0.05 - $0.50
Eurite,EURI,1.15,0.07,0.32,0.36,0.25,3. $0.50 - $5
ANDY (ETH),ANDY,5.125e-05,0.57,1.42,1.31,1.1,1. $0 - $0.05
GameBuild,GAME,0.002875,0.45,1.09,2.13,1.2233,1. $0 - $0.05
Tornado Cash,TORN,9.67,0.1,0.23,0.62,0.3167,4. $5 - $50
DeFi Pulse Index,DPI,90.45,2.82,6.12,10.28,6.4067,5. $50+
Kujira,KUJI,0.3031,1.73,4.39,5.92,4.0133,2. $0.05 - $0.50
Gains Network,GNS,1.26,0.31,1.17,2.91,1.4633,3. $0.50 - $5
AVA (Travala),AVA,0.5361,0.49,1.39,3.51,1.7967,3. $0.50 - $5
DEAPcoin,DEP,0.001245,0.25,0.62,0.95,0.6067,1. $0 - $0.05
The Arena,ARENA,0.01497,0.04,0.47,0.48,0.33,1. $0 - $0.05
Dohrnii,DHN,2.13,0.05,0.38,0.45,0.2933,3. $0.50 - $5
Ampleforth Governance Token,FORTH,2.53,0.44,1.01,1.44,0.9633,3. $0.50 - $5
Metadium,META,0.021,0.08,0.48,0.09,0.2167,1. $0 - $0.05
Shentu,CTK,0.2442,0.32,0.4,0.69,0.47,2. $0.05 - $0.50
Nakamoto Games,NAKA,0.3388,0.69,2.53,4.96,2.7267,2. $0.05 - $0.50
Groestlcoin,GRS,0.2993,0.15,0.82,0.19,0.3867,2. $0.05 - $0.50
Sui Name Service,NS,0.1401,1.77,3.84,14.69,6.7667,2. $0.05 - $0.50
Haedal Protocol,HAEDAL,0.1279,0.76,1.52,1.6,1.2933,2. $0.05 - $0.50
Fractal Bitcoin,FB,0.5232,2.19,8.16,16.38,8.91,3. $0.50 - $5
PlatON,LAT,0.003926,0.94,3.08,5.12,3.0467,1. $0 - $0.05
NFPrompt,NFP,0.05651,1.46,4.85,12.59,6.3,2. $0.05 - $0.50
Orbiter Finance,OBT,0.008376,4.27,14.94,13.61,10.94,1. $0 - $0.05
Covalent X Token,CXT,0.02654,0.33,0.71,1.7,0.9133,1. $0 - $0.05
OMG Network,OMG,0.1841,0.18,0.63,2.35,1.0533,2. $0.05 - $0.50
Radiant Capital,RDNT,0.02085,1.26,2.55,7.81,3.8733,1. $0 - $0.05
Klever Coin,KLV,0.002244,0.42,1.93,3.22,1.8567,1. $0 - $0.05
Pups (Bitcoin),PUPS,0.02041,4.24,12.8,26.99,14.6767,1. $0 - $0.05
NATIX Network,NATIX,0.001223,0.02,0.08,0.55,0.2167,1. $0 - $0.05
ORIGYN,OGY,0.002523,1.24,1.65,7.95,3.6133,1. $0 - $0.05
Daddy Tate,DADDY,0.03288,0.01,0.1,0.92,0.3433,1. $0 - $0.05
Impossible Finance Launchpad,IDIA,0.02881,0.03,0.39,0.34,0.2533,1. $0 - $0.05
League of Kingdoms Arena,LOKA,0.05197,1.04,3.42,3.5,2.6533,2. $0.05 - $0.50
Mango,MNGO,0.01749,0.55,1.74,1.98,1.4233,1. $0 - $0.05
DAR Open Network,D,0.0301,1.58,5.66,12.79,6.6767,1. $0 - $0.05
Alaya Governance Token,AGT,0.0139,0.55,1.57,3.47,1.8633,1. $0 - $0.05
Port3 Network,PORT3,0.0441,0.96,1.26,4.71,2.31,1. $0 - $0.05
SIX Token,SIX,0.01837,0.4,0.85,2.29,1.18,1. $0 - $0.05
Cult DAO,CULT,0.053611,0.02,0.39,0.1,0.17,2. $0.05 - $0.50
crow with knife,CAW,0.071993,0.03,0.05,0.4,0.16,2. $0.05 - $0.50
Cortex,CTXC,0.06667,0.11,0.0,0.19,0.1,2. $0.05 - $0.50
Paris Saint-Germain Fan Token,PSG,1.6,0.18,0.51,1.08,0.59,3. $0.50 - $5
Comtech Gold,CGO,108.17,0.06,0.44,0.07,0.19,5. $50+
Definitive,EDGE,0.07508,0.07,0.1,0.4,0.19,2. $0.05 - $0.50
Contentos,COS,0.002934,0.73,1.26,5.06,2.35,1. $0 - $0.05
Step Finance,STEP,0.06844,2.51,4.03,19.87,8.8033,2. $0.05 - $0.50
OctaSpace,OCTA,0.3211,0.31,0.04,2.08,0.81,2. $0.05 - $0.50
Aura Finance,AURA,0.1823,0.01,0.06,0.84,0.3033,2. $0.05 - $0.50
PIBBLE,PIB,0.0004951,4.05,9.3,18.09,10.48,1. $0 - $0.05
U2U Network,U2U,0.00783,0.51,1.55,2.87,1.6433,1. $0 - $0.05
Persistence One,XPRT,0.05599,0.03,0.34,0.68,0.35,2. $0.05 - $0.50
TROLL (SOL),TROLL,0.01193,0.05,0.58,1.17,0.6,1. $0 - $0.05
WeFi,WFI,0.4212,0.22,0.57,1.31,0.7,2. $0.05 - $0.50
Dora Factory,DORA,0.02198,1.41,4.6,10.65,5.5533,1. $0 - $0.05
Alon,ALON,0.01163,0.42,1.17,2.76,1.45,1. $0 - $0.05
Beefy,BIFI,146.92,0.16,0.04,1.42,0.54,5. $50+
Karate Combat,KARATE,0.0001392,0.25,0.5,2.04,0.93,1. $0 - $0.05
Efinity Token,EFI,0.1065,0.0,0.42,0.19,0.2033,2. $0.05 - $0.50
Nura Labs,NURA,0.001881,0.12,0.02,0.86,0.3333,1. $0 - $0.05
Nexera,NXRA,0.009059,0.88,3.56,6.27,3.57,1. $0 - $0.05
Department Of Government Efficiency (dogegov.com),DOGE,0.009443,1.39,4.62,4.18,3.3967,1. $0 - $0.05
moonpig,MOONPIG,0.009081,1.26,4.83,4.81,3.6333,1. $0 - $0.05
Aerobud,AEROBUD,0.009401,1.8,6.23,9.45,5.8267,1. $0 - $0.05
cheqd,CHEQ,0.01413,0.45,0.56,4.1,1.7033,1. $0 - $0.05
Koma Inu,KOMA,0.01661,2.18,7.79,16.55,8.84,1. $0 - $0.05
Pitbull,PIT,0.092256,1.42,3.79,5.79,3.6667,2. $0.05 - $0.50
Venus LTC,vLTC,1.69,0.45,1.63,3.56,1.88,3. $0.50 - $5
KONET,KONET,0.03494,1.09,4.29,4.71,3.3633,1. $0 - $0.05
Creta World,CRETA,0.004794,0.25,0.73,1.1,0.6933,1. $0 - $0.05
WazirX,WRX,0.01839,0.53,0.72,4.3,1.85,1. $0 - $0.05
Baanx,BXX,0.03672,0.4,1.28,3.03,1.57,1. $0 - $0.05
SwarmNode.ai,SNAI,0.007788,1.42,3.88,8.27,4.5233,1. $0 - $0.05
Hathor,HTR,0.01508,0.7,2.54,2.83,2.0233,1. $0 - $0.05
Venus DAI,vDAI,0.02534,0.0,0.11,0.59,0.2333,1. $0 - $0.05
trac (Ordinals),TRAC,0.3309,0.15,0.15,0.1,0.1333,2. $0.05 - $0.50
AirSwap,AST,0.03958,1.97,5.22,13.75,6.98,1. $0 - $0.05
nubcat,NUB,0.005521,1.26,3.06,8.23,4.1833,1. $0 - $0.05
CrossFi,XFI,0.09003,0.22,0.71,2.39,1.1067,2. $0.05 - $0.50
Tron Bull,BULL,0.005448,0.0,0.49,0.33,0.2733,1. $0 - $0.05
Openfabric AI,OFN,0.02954,0.22,0.13,1.32,0.5567,1. $0 - $0.05
Electric Vehicle Zone,EVZ,0.002286,0.35,0.9,2.11,1.12,1. $0 - $0.05
Metahero,HERO,0.001011,0.2,0.0,2.3,0.8333,1. $0 - $0.05
Inter Milan Fan Token,INTER,0.5306,0.06,0.52,0.22,0.2667,3. $0.50 - $5
Darkpino,DPINO,0.005187,0.37,1.41,2.2,1.3267,1. $0 - $0.05
Velas,VLX,0.001885,0.01,0.0,0.07,0.0267,1. $0 - $0.05
Abelian,ABEL,0.0498,0.62,2.03,2.01,1.5533,1. $0 - $0.05
Electra Protocol,XEP,0.0002248,0.15,0.58,1.09,0.6067,1. $0 - $0.05
Kin,KIN,0.05147,4.64,9.85,27.59,14.0267,2. $0.05 - $0.50
KiloEx,KILO,0.01908,0.57,1.24,2.86,1.5567,1. $0 - $0.05
Privasea AI,PRAI,0.01953,0.03,0.0,0.2,0.0767,1. $0 - $0.05
MAD,MAD,0.053982,1.04,2.2,5.8,3.0133,2. $0.05 - $0.50
Robonomics.network,XRT,2.34,0.12,0.31,1.37,0.6,3. $0.50 - $5
Alitas,ALT,0.03321,0.9,2.86,2.98,2.2467,1. $0 - $0.05
Bytecoin,BCN,2.164e-05,0.1,0.18,0.72,0.3333,1. $0 - $0.05
Morpheus.Network,MNW,0.08283,1.72,2.68,10.45,4.95,2. $0.05 - $0.50
WELF,WELF,0.5305,0.68,1.62,4.91,2.4033,3. $0.50 - $5
Cypherium,CPH,0.008445,0.02,0.08,0.65,0.25,1. $0 - $0.05
Dingocoin,DINGO,2.837e-05,0.37,1.13,3.57,1.69,1. $0 - $0.05
IBStoken,IBS,0.000803,0.02,0.2,0.37,0.1967,1. $0 - $0.05
AIT Protocol,AIT,0.01094,1.18,2.88,6.52,3.5267,1. $0 - $0.05
Bitcoin 2,BTC2,0.1761,3.34,12.81,23.94,13.3633,2. $0.05 - $0.50
OmniFlix Network,FLIX,0.01286,0.02,0.18,0.69,0.2967,1. $0 - $0.05
TRVL (Dtravel),TRVL,0.007706,0.09,0.19,0.57,0.2833,1. $0 - $0.05
DeBox,BOX,0.0106,1.61,5.57,5.13,4.1033,1. $0 - $0.05
Akita Inu,AKITA,0.074697,0.11,0.67,1.53,0.77,2. $0.05 - $0.50
Hive Intelligence,HINT,0.006908,0.12,0.47,1.31,0.6333,1. $0 - $0.05
Sentio AI,SEN,0.02632,2.67,6.35,16.71,8.5767,1. $0 - $0.05
Sylo,SYLO,0.0004232,0.97,3.13,3.57,2.5567,1. $0 - $0.05
PornRocket,PORNROCKET,0.086727,0.0,0.04,0.5,0.18,2. $0.05 - $0.50
FNCY,FNCY,0.002296,0.1,0.33,0.8,0.41,1. $0 - $0.05
Hoge Finance,HOGE,0.05638,2.48,4.72,10.85,6.0167,2. $0.05 - $0.50
Big Data Protocol,BDP,0.04844,0.11,0.28,0.79,0.3933,1. $0 - $0.05
Byte,BYTE,0.052624,0.04,0.55,0.72,0.4367,2. $0.05 - $0.50
Universe Boss Coin,UBC,0.002527,0.59,1.57,3.81,1.99,1. $0 - $0.05
ADAMANT Messenger,ADM,0.02283,0.32,0.21,2.09,0.8733,1. $0 - $0.05
CHADETTE,CHADETTE,0.002602,0.8,1.95,4.44,2.3967,1. $0 - $0.05
NULS,NULS,0.01772,0.81,2.19,3.73,2.2433,1. $0 - $0.05
Quq,QUQ,0.002003,1.58,1.95,11.62,5.05,1. $0 - $0.05
RigoBlock,GRG,0.7384,0.09,0.16,0.3,0.1833,3. $0.50 - $5
LEGIT,LEGIT,0.002032,1.56,3.41,9.33,4.7667,1. $0 - $0.05
Super Zero Protocol,SERO,0.004565,0.1,0.12,1.33,0.5167,1. $0 - $0.05
Letit,LETIT,0.03101,1.21,2.16,8.67,4.0133,1. $0 - $0.05
GoChain,GO,0.001507,0.03,0.44,0.43,0.3,1. $0 - $0.05
BlackCardCoin,BCCOIN,0.1976,1.2,2.48,9.6,4.4267,2. $0.05 - $0.50
Habibi,HABIBI,0.002419,0.97,4.04,5.74,3.5833,1. $0 - $0.05
Striker League,MBS,0.003149,0.0,0.22,0.28,0.1667,1. $0 - $0.05
Ctrl Wallet,CTRL,0.007828,18.79,43.82,99.89,54.1667,1. $0 - $0.05
Etherisc DIP Token,DIP,0.006649,0.0,0.2,0.09,0.0967,1. $0 - $0.05
Rubic,RBC,0.009631,0.28,1.2,1.03,0.8367,1. $0 - $0.05
BizAuto,BIZA,0.000592,0.68,2.89,2.85,2.14,1. $0 - $0.05
BIGFACTS,BIGFACTS,0.00341,0.31,0.9,1.27,0.8267,1. $0 - $0.05
Didi Bam Bam,DDBAM,0.07514,0.01,0.33,0.86,0.4,2. $0.05 - $0.50
Rebel Cars,RC,0.007633,1.1,3.68,3.88,2.8867,1. $0 - $0.05
Vulcan Forged (LAVA),LAVA,0.006391,0.0,0.32,0.2,0.1733,1. $0 - $0.05
DeHub,DHB,0.0003842,0.0,0.25,0.08,0.11,1. $0 - $0.05
Mubarakah,MUBARAKAH,0.001565,0.2,0.73,1.65,0.86,1. $0 - $0.05
TOWER,TOWER,0.0004246,0.16,0.77,0.1,0.3433,1. $0 - $0.05
Octokn,OTK,0.004085,0.2,0.66,1.41,0.7567,1. $0 - $0.05
StarSlax,SSLX,0.0004946,0.43,1.48,1.69,1.2,1. $0 - $0.05
Ertha,ERTHA,0.0006265,0.19,0.86,1.12,0.7233,1. $0 - $0.05
SafeCoin,SAFE,0.04456,1.26,2.8,8.47,4.1767,1. $0 - $0.05
Dolos The Bully,BULLY,0.001286,0.0,0.43,0.74,0.39,1. $0 - $0.05
LanLan Cat,LANLAN,0.000138,11.77,39.37,75.46,42.2,1. $0 - $0.05
Torum,XTM,0.006238,2.94,10.93,11.48,8.45,1. $0 - $0.05
SUNCAT,SUNCAT,0.00122,0.79,3.19,3.52,2.5,1. $0 - $0.05
HOME3,HTS,0.01532,2.06,7.36,7.45,5.6233,1. $0 - $0.05
